dataset,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds
wheat,Original PhytoODE,val,0.038039951274792295,0.0006714023090582679,11.412709280922547,0.2014334694718659,3
wheat,Original PhytoODE,test,0.03062912945946053,0.0006196607121157447,10.341137282818195,0.20921249169811226,3
maize,Original PhytoODE,train,41.897380504492105,14.370437333043832,13.427161287558368,4.60539961019381,3
maize,Original PhytoODE,val,47.24654463297455,2.6005900072494796,18.640579503083288,1.0260328064546962,3
maize,Original PhytoODE,test,56.68436718577385,4.3696316962936335,18.398788964338056,1.4183087052644419,3
arabidopsis,Original PhytoODE,train,1.4012999832630102,0.08785663447770452,6.660405501725227,0.4175842564957317,3
arabidopsis,Original PhytoODE,val,3.24553735554218,0.005841194212176945,16.118439596974927,0.029009352156243867,3
arabidopsis,Original PhytoODE,test,2.8659799446662233,0.0928076788555227,14.390860987900956,0.4660124741993365,3
wheat,PhytoODE (K loss only),train,0.022526704175171764,0.00016377806265566617,7.5253074942339575,0.054711966415941324,3
wheat,PhytoODE (K loss only),val,0.0377511629458177,0.0009952200724882131,11.326067286601855,0.2985849607376608,3
wheat,PhytoODE (K loss only),test,0.030471401076536998,0.0004673600770832647,10.287884353662387,0.1577921019277862,3
wheat,Latent Neural ODE (no physics),train,0.0210797654403747,5.751183826439855e-05,7.041940783329717,0.01921249838115384,3
wheat,Latent Neural ODE (no physics),val,0.038341788804508496,0.00087031144814811,11.503266283791426,0.2611099964303756,3
wheat,Latent Neural ODE (no physics),test,0.030912635358158736,0.00023246885018011223,10.436855753132784,0.07848712438508201,3
maize,PhytoODE (K loss only),train,38.09103837165305,8.617166513025042,12.207314864754458,2.7616066498412413,3
maize,PhytoODE (K loss only),val,48.14266528717955,4.526489625300959,18.99413357627164,1.7858742980204276,3
maize,PhytoODE (K loss only),test,55.83338504626576,6.152928072126008,18.12257452331031,1.9971366133590607,3
maize,Latent Neural ODE (no physics),train,43.25181514960755,5.757829332030248,13.861226907280633,1.8452538601814406,3
maize,Latent Neural ODE (no physics),val,60.752947446188216,10.025984698537862,23.96937502445275,3.9556366782292964,3
maize,Latent Neural ODE (no physics),test,67.78140441037421,13.620087806329312,22.0006999701659,4.420850644819385,3
arabidopsis,PhytoODE (K loss only),train,1.4155548025424773,0.06024445826967875,6.7281589291776305,0.2863430572328158,3
arabidopsis,PhytoODE (K loss only),val,3.2414916932515845,0.10885883271243672,16.098347465498033,0.5406298949775876,3
arabidopsis,PhytoODE (K loss only),test,2.852352940080912,0.04284955257541199,14.32243610969004,0.21515920083604265,3
arabidopsis,Latent Neural ODE (no physics),train,1.1875417068372969,0.028188778068427952,5.644408343836226,0.13398179888412276,3
arabidopsis,Latent Neural ODE (no physics),val,3.277781866445903,0.046557868721871905,16.278576777478534,0.23122217141513132,3
arabidopsis,Latent Neural ODE (no physics),test,2.993163992726856,0.06620047924020411,15.029486515942546,0.33241052361556395,3
wheat,Tuned PhytoODE,train,0.022309364304941685,6.66919439816087e-05,7.452702583123998,0.022279219452040467,3
wheat,Tuned PhytoODE,val,0.037680413891268014,0.0007745386072791759,11.30484122388575,0.23237632161704522,3
wheat,Tuned PhytoODE,test,0.030321676645183742,0.0006623703819780362,10.237333752762495,0.22363231254004573,3
maize,Tuned PhytoODE,train,39.20177545517819,3.4008914901577425,12.563280936833005,1.0899086771054034,3
maize,Tuned PhytoODE,val,44.94272426221436,3.136983449543783,17.73163373539627,1.2376606552993514,3
maize,Tuned PhytoODE,test,60.52579092067753,7.499530623580298,19.645650279547908,2.434221075850241,3
arabidopsis,Tuned PhytoODE,train,1.4210570989820959,0.029564028266747942,6.754311448920919,0.1405183892620164,3
arabidopsis,Tuned PhytoODE,val,3.1914670369315825,0.0331276215732626,15.849908050719309,0.16452300769493708,3
arabidopsis,Tuned PhytoODE,test,2.7996680229569004,0.016346296319573014,14.05789088148572,0.08207917799278622,3
