protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,train,1,0.4091968204333233,0.0,11.792575937145877,0.0,0.5091033182067283,0.0,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,val,1,0.7686270023084225,0.0,13.528202207789835,0.0,0.9504173378485884,0.0,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,test,1,1.708282054266807,0.0,22.88959832384996,0.0,1.9515977794198305,0.0,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,train,3,0.027979397520041,0.0011746756309746,0.8063336601229499,0.0338527840101839,0.0459987930841739,0.0013739212235229,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,val,3,1.0183488945175048,0.0002419620326844,17.92342673590338,0.0042586472956739,1.3609718188420672,0.0008682556526949,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,test,3,2.608399550913709,0.0010761741039598,34.95044500373847,0.0144198628702091,2.893667930667436,0.0008652492665072,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,train,3,0.295122664781607,0.0202887862876461,8.50509158777063,0.5846991985818144,0.3529719419691624,0.017268952205777,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,val,3,0.8712039783954778,0.0134476401757,15.333605960457476,0.236684887426671,1.1738970081801536,0.0505689089649144,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,test,3,2.0026801803440057,0.2877469907565333,26.83429518252734,3.8555770230464046,2.304454956604394,0.3216669821932069,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,train,3,0.3667985005473578,0.0163880791766,10.57070572238422,0.4722853612336535,0.4616671802975642,0.0198910093772727,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,val,3,0.6158945100129737,0.0266273309280395,10.840037424003796,0.4686537370745554,0.83218975838033,0.0201676760001681,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,test,3,1.3361903665982044,0.0829101881038865,17.903870557697633,1.1109294849247433,1.5450618635091573,0.1059090811007047,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),train,3,0.4000187967760449,0.0133094894438508,11.528075981313464,0.3835639895369785,0.4742839117700648,0.0120262052011918,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),val,3,0.6266633177294086,0.0461890294823126,11.02957358118694,0.8129489710115076,0.8174972911357609,0.0425765732487388,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,latent_ode,Latent ODE (no light),test,3,1.142920795065704,0.1546802488989662,15.314214564091683,2.0725902710779693,1.303074101227225,0.1818853395345064,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),train,3,0.3770381875047646,0.0177712371357945,10.865801578432054,0.5121463632072198,0.4452176690398795,0.0179817860255982,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),val,3,0.6036247577960603,0.0151340533525577,10.624083927013226,0.2663665644870593,0.8320509383843643,0.0243509059849464,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,latent_ode_light,Latent ODE (+ light),test,3,1.4391475843393433,0.0564898845036064,19.283414031065856,0.7569187783824113,1.6290491166491676,0.0663420342583077,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,phytoode_original,PhytoODE (previous genotype head),train,3,0.356417645836582,0.0590776381219357,10.271541576045871,1.702548746596802,0.4456874019748365,0.0497129364281032,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,phytoode_original,PhytoODE (previous genotype head),val,3,0.5637471208620506,0.0073823152267891,9.9222184781129,0.1299322725453451,0.7839533025918826,0.0075893809157386,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,phytoode_original,PhytoODE (previous genotype head),test,3,1.702813316563062,0.0846583726427859,22.816321660277595,1.134353744280174,1.9092766454982515,0.097256360939918,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,train,3,0.3302891178879564,0.0058123355417361,9.391503857597067,0.1105160712112006,0.4798274844331416,0.0074865372787826,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,val,3,0.7545729681994522,0.0709606819226455,13.280844493038572,1.2489418767954297,0.9482993942282456,0.094738458476785,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,logistic,Logistic ODE,test,3,1.661264797229407,0.0266288044164276,22.25960511156309,0.3568044575484804,1.905442257366081,0.0371826873740454,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,train,3,0.049892766174762,0.0074384555462483,1.4176971028847116,0.2001692341097674,0.0837118355660294,0.0073601771564078,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,val,3,1.2954025640456477,0.0222384966155657,22.799703586538488,0.3914081674140042,1.7923539313887762,0.0610907163412883,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,rf,Random forest,test,3,2.9148232304687745,0.0464849746110632,39.05627458513876,0.6228610327056046,3.2938695391167427,0.0525473673041681,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,train,3,0.2908803670597992,0.0310477020387591,8.27539449491278,0.9402104446571664,0.3696078340098714,0.0286228620937889,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,val,3,0.9309883596833872,0.1862558601348205,16.385839609698156,3.2781920688192265,1.3057536428666572,0.2976363740679423,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,lstm,LSTM-NN,test,3,1.7753542779179483,0.309149487653463,23.788311905311005,4.142353153186695,2.095551113121119,0.3725968587746281,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,train,3,0.321184165262983,0.0086547504356241,9.13267329307098,0.2180838801049483,0.44881085881464,0.0097010288341079,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,val,3,0.6727813892106836,0.0343812975272005,11.841273653406668,0.605127244542033,0.9041201347178046,0.0405226992415164,5.681664058197794,3.225053538709015e-09,128,128
prefix_forecast_20260911,hypocotyl,0.25,logistic_pinn,Logistic-PINN,test,3,1.2773062396445989,0.1664995425215792,17.114870877539072,2.230959231813834,1.487552977611439,0.2103659212979106,7.463136874666741,9.810285409334008e-09,136,263
prefix_forecast_20260911,hypocotyl,0.25,latent_ode,Latent ODE (no light),train,3,0.3897228859643895,0.0208998776435411,11.079271832171072,0.5079128815401935,0.4962184016128461,0.0120770948207965,3.51676109750427,0.0273966133690391,157,413
prefix_forecast_20260911,hypocotyl,0.25,latent_ode,Latent ODE (no light),val,3,0.6189417163344721,0.0573128965874692,10.89366970673675,1.0087343461644704,0.8428472298166639,0.0844493097928946,5.681664058197794,3.225053538709015e-09,128,128
